nom_arrond,no_arrond,artiste,annee
Villeray-Saint-Michel-Parc-Extension,2,Yannick Picard ,2007
Ville-Marie,6,Artducommun,2007
Le Plateau-Mont-Royal,5,Carlito Dalceggio ,2008
Villeray-Saint-Michel-Parc-Extension,2,Dominique Desbiens ,2008
Villeray-Saint-Michel-Parc-Extension,2,Yannick Picard ,2008
Ville-Marie,6,Artducommun,2008
Ville-Marie,6,Artducommun,2008
Ville-Marie,6,Phillip Adams et David Guinn,2009
Ville-Marie,6,Phillip Adams et David Guinn,2009
Ville-Marie,6,Laurent Gascon,2009
Ville-Marie,6,Laurent Gascon,2010
Lachine,24,Artducommun,2010
Ville-Marie,6,Phillip Adams et David Guinn,2010
Villeray-Saint-Michel-Parc-Extension,2,Annie Hamel ,2010
Ville-Marie,6,Laurence Petit et Christian Robert de Massy,2010
Ville-Marie,6,Laurent Gascon,2011
Côte-des-Neiges-Notre-Dame-de-Grâce,7,"Fluke, Guillaume Lapointe, Antonin Lambert, Dodo et Bruno Rathbone",2011
Le Plateau-Mont-Royal,5,Rafael Sottolichio,2011
Lachine,24,Artducommun,2011
Ville-Marie,6,Phillip Adams et David Guinn,2011
Le Plateau-Mont-Royal,5,"Richard Morin, Annie Hamel, Florence April-Borgeat, Olivier Roy et Nico",2011
Le Sud-Ouest,8,Gene Pendon et Laurence Petit,2011
Ville-Marie,6,Phillip Adams,2012
Montréal-Nord,11,Arnaud Grégoire,2012
Montréal-Nord,11,Arnaud Grégoire,2012
Montréal-Nord,11,Arnaud Grégoire,2012
Montréal-Nord,11,Jeunes résidents de Place Normandie,2012
Villeray-Saint-Michel-Parc-Extension,2,Gene Pendon,2012
Le Sud-Ouest,8,Arpi (René-Pierre Beaudry),2012
Côte-des-Neiges-Notre-Dame-de-Grâce,7,A'Shop,2012
Ville-Marie,6,Laurent Gascon ,2012
Rosemont-La Petite-Patrie,3,Nayan,2012
Ville-Marie,6,Laurent Gascon ,2013
Lachine,24,Artducommun,2013
Lachine,24,Artducommun,2013
Lachine,24,Artducommun,2013
Le Sud-Ouest,8,Collectif Au pied du mur ,2013
Ville-Marie,6,Phillip Adams,2013
Rivière-des-Prairies-Pointe-aux-Trembles,9,Carlito Dalceggio ,2013
Verdun,16,OTHER - Cette murale n'est plus visible,2013
Villeray-Saint-Michel-Parc-Extension,2,Labrona et Christopher Ross,2013
Mercier-Hochelaga-Maisonneuve,4,A'Shop,2013
Mercier-Hochelaga-Maisonneuve,4,A'Shop,2013
Mercier-Hochelaga-Maisonneuve,4,A'Shop (Zek et Dodo Ose) - Cette murale n'est plus visible,2013
Rosemont-La Petite-Patrie,3,Pascal Fournier,2013
Rosemont-La Petite-Patrie,3,Philippe Mastrocola,2013
Rosemont-La Petite-Patrie,3,Nayan,2013
Rosemont-La Petite-Patrie,3,Philippe Mastrocola,2013
Rosemont-La Petite-Patrie,3,Isabelle Leclerc,2013
Rosemont-La Petite-Patrie,3,Mateo (Mathieu Bories),2013
Rosemont-La Petite-Patrie,3,Adeline Benhammouda,2013
Rosemont-La Petite-Patrie,3,Monk.E,2013
Rosemont-La Petite-Patrie,3,Adèle Zanni,2013
Rosemont-La Petite-Patrie,3,Fanny Aishaa,2013
Rosemont-La Petite-Patrie,3,Mateo (Mathieu Bories),2013
Rosemont-La Petite-Patrie,3,Omen,2013
Rosemont-La Petite-Patrie,3,A'Shop,2013
Rosemont-La Petite-Patrie,3,A'Shop,2013
Rosemont-La Petite-Patrie,3,Scribe CSX,2014
Rosemont-La Petite-Patrie,3,A'Shop,2014
